Elapsed Time (s),Hot(C),Cold(C),Tset(C),Voltage(V)
266.0262761,30.62,10.06,10,4.28
266.5652134,30.62,10.06,10,4.24
266.9959455,30.62,10.06,10,4.42
267.5373423,30.62,10.06,10,4.26
267.975358,30.62,10.06,10,4.21
268.5181966,30.62,10.06,10,4.24
269.0611205,30.62,10.06,10,4.26
269.496721,30.62,10.06,10,4.26
270.0383663,30.62,10.06,10,4.27
270.4732401,30.62,10.06,10,3.12
271.017947,30.62,10.06,10,4.26
271.562988,30.62,10.06,10,4.38
271.9990959,30.62,10.06,10,4.25
272.5434082,30.62,10.06,10,4.33
272.9811912,3062,10.06,10,4.27
273.5735595,30.62,10.06,10,4.29
274.0089478,30.62,10.06,10,4.27
274.5534577,30.62,10.06,10,4.27
274.9893527,30.62,10.06,10,4.26
275.5312777,30.62,10.06,10,430
276.0740254,30.62,10.06,10,4.35
276.5072408,30.62,10.06,10,4.23
277.055095,30.62,10.06,10,4.29
277.598331,30.62,10.06,10,4.29
278.0327232,30.62,10.06,10,4.29
278.5777123,30.62,10.06,10,4.29
279.0101776,30.62,10.06,10,4.29
279.5525723,30.62,10,10,4.23
280.0972185,30.62,10,10,4.37
280.5322664,30.62,10,10,4.14
281.0794377,30.62,10,10,4.28
281.5183928,30.62,10,10,4.14
282.0588768,30.62,10,10,4.22
282.6089106,30.62,10,10,4.24
283.0476911,30.62,10,10,4.23
283.5915158,30.62,10,10,4.17
284.0270004,30.62,10,10,4.35
284.5736256,30.62,10,10,4.14
285.1185589,30.62,10,10,4.21
285.5551124,30.62,10,10,4.01
286.1030071,30.62,10,10,4.22
286.5370591,30.62,10,10,4.24
287.1118171,30.62,10,10,4.22
287.5510707,30.62,10,10,4.31
288.0965114,30.62,10,10,4.2
288.5338004,30.62,10,10,4.41
289.0773399,30.62,10,10,4.32
289.6242833,30.62,10,10,4.3
290.0638058,30.62,10,10,4.3
290.6103661,30.62,10,10,4.14
291.0454292,30.62,10,10,4.32
291.5926738,30.62,10,10,4.31
292.1358211,30.62,10,10,4.24
292.5724444,30.62,10,10,4.21
293.1172788,30.62,10,10,4.2
293.549618,30.62,10,10,4.22
294.0976741,30.62,10,10,4.22
294.6429908,30.62,10,10,4.27
295.0787101,30.62,10,10,3.12
295.6236765,30.62,10,10,4.25
296.0583487,30.62,10,10,4.21
